scenario,subject,p,scratch_auc,ssl_auc,delta_auc
full_ft,subjA,10,0.5300310002755579,0.5344549118214383,0.004423911545880399
full_ft,subjA,20,0.5471731193166162,0.5413161339211904,-0.0058569853954257844
full_ft,subjA,40,0.5482136952328465,0.5624924221548635,0.014278726922017038
full_ft,subjA,60,0.5707223064205016,0.5838981124276661,0.013175806007164503
full_ft,subjA,100,0.609345894185726,0.6478179250482226,0.03847203086249651
full_ft,subjB,10,0.5475750940837899,0.5207427085062816,-0.026832385577508333
full_ft,subjB,20,0.5413505174608446,0.5361492750013835,-0.005201242459461075
full_ft,subjB,40,0.5600929077425425,0.5854142453926614,0.025321337650118902
full_ft,subjB,60,0.6052278764735182,0.6639987686092202,0.05877089213570208
full_ft,subjB,100,0.6957769522386408,0.7575609469256738,0.061783994687032995
low_lr,subjA,10,0.527821886194544,0.5324211215210802,0.004599235326536277
low_lr,subjA,20,0.5331119109947644,0.5350943786166988,0.001982467621934436
low_lr,subjA,40,0.5366533480297603,0.5487975337558556,0.012144185726095325
low_lr,subjA,60,0.5414914577018463,0.5570479126481125,0.01555645494626623
low_lr,subjA,100,0.5493651832460733,0.5627945026178011,0.013429319371727755
low_lr,subjB,10,0.5411251660302175,0.5178316453594554,-0.02329352067076218
low_lr,subjB,20,0.5386049656870884,0.5218699845038464,-0.016734981183242015
low_lr,subjB,40,0.5439357463058275,0.5532099175383253,0.009274171232497741
low_lr,subjB,60,0.5564222563506558,0.5663691958603132,0.009946939509657415
low_lr,subjB,100,0.5640807460291106,0.6315685704798274,0.06748782445071677
partial,subjA,10,0.5324908721410857,0.5165023077982915,-0.015988564342794165
partial,subjA,20,0.5310843207495177,0.5274824331771838,-0.0036018875723339283
partial,subjA,40,0.540179112703224,0.531175943786167,-0.009003168917057103
partial,subjA,60,0.5423679043813723,0.5406708115183245,-0.0016970928630477555
partial,subjA,100,0.5524839831909617,0.5472514811242767,-0.005232502066685019
partial,subjB,10,0.5426912114671537,0.5325280867784603,-0.010163124688693403
partial,subjB,20,0.5420288200785877,0.5396639271680779,-0.002364892910509786
partial,subjB,40,0.5462906082240301,0.5491036097736455,0.0028130015496153904
partial,subjB,60,0.5549205476230008,0.5631229592119099,0.008202411588909109
partial,subjB,100,0.5645319677347944,0.5744183753943218,0.009886407659527419
warmup,subjA,10,0.5278640810140535,0.5334749586662993,0.0056108776522458825
warmup,subjA,20,0.5331053664921466,0.5384761642325709,0.005370797740424371
warmup,subjA,40,0.5358283962524111,0.5425008611187655,0.006672464866354422
warmup,subjA,60,0.5413054560484982,0.5519010057867182,0.010595549738219967
warmup,subjA,100,0.5511866216588591,0.5718736222099752,0.020687000551116053
warmup,subjB,10,0.5410653259726603,0.5230750871658643,-0.017990238806796066
warmup,subjB,20,0.538711328795174,0.5339217029165975,-0.004789625878576564
warmup,subjB,40,0.544233908904754,0.5577290525208921,0.013495143616138128
warmup,subjB,60,0.5559345425867508,0.5743230809674028,0.01838853838065202
warmup,subjB,100,0.5638164812662572,0.6543517211799215,0.0905352399136643
