channel_set,p,mean_auc,std_auc,mean_f1,std_f1,n
ch14,10,0.5144817325958719,0.05548521975542777,0.23019797465272704,0.08205191436417354,61
ch3,10,0.5138810056884526,0.056229679144175045,0.22969133874838146,0.08105278868530998,61
ch7,10,0.5115203092091448,0.05329213791856454,0.23104419489346387,0.0863471018839608,61
ch14,20,0.5232372208904261,0.056359946919923125,0.22865111135655802,0.08027932616954236,61
ch3,20,0.5233455593341249,0.0549119323757269,0.2272897261819271,0.08144145262038058,61
ch7,20,0.5189642359872526,0.063763793677785,0.23073172589553143,0.08390367669903795,61
ch14,40,0.5356594763885953,0.058937100468619004,0.23117450081090324,0.08310449320118093,61
ch3,40,0.5360903173156013,0.06783237795150182,0.22956974722605908,0.08949611174325672,61
ch7,40,0.5397039917373507,0.08120875869403052,0.23877074971830722,0.10013321267181106,61
ch14,60,0.5415741468063789,0.05860919577206823,0.23128931297071426,0.08288404391232373,61
ch3,60,0.5522287760645387,0.0791036044961357,0.23997113447620644,0.09059976101218,61
ch7,60,0.5759107069647039,0.0991049842399222,0.2527682837990026,0.10984064296627476,61
ch14,100,0.5560149865612651,0.0695341686052079,0.2352752727431954,0.08552147164343847,61
ch3,100,0.5946373519414305,0.10321956664633958,0.2596511607417374,0.09867912980829409,61
ch7,100,0.6593186921876101,0.136800464142805,0.30770436765041304,0.12694896957270604,61
