subject_id,p,strategy,auc,f1,accuracy,precision,recall,fdr,group
subjB,0,full_ft,0.5095434514915048,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0010636135367113,bcicomp3
subjB,0,low_lr_encoder,0.5095434514915048,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0010636135367113,bcicomp3
subjB,0,partial_ft,0.5095434514915048,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0010636135367113,bcicomp3
subjB,0,warmup,0.5095434514915048,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0010636135367113,bcicomp3
subjB,10,full_ft,0.497777789307654,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,2.3593759446005173e-05,bcicomp3
subjB,10,low_lr_encoder,0.499308899219658,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0001295129907133,bcicomp3
subjB,10,partial_ft,0.5050642675300238,0.2857142857142857,0.1673970201577563,0.1666666666666666,1.0,0.0004514092143962,bcicomp3
subjB,10,warmup,0.4983175604626708,0.2819094447859045,0.2320333041191936,0.1669497694734287,0.9052631578947368,5.8885369672881054e-05,bcicomp3
subjB,20,full_ft,0.5389681567878687,0.2867451576148879,0.1770376862401402,0.167554371948513,0.993421052631579,0.0116058191982203,bcicomp3
subjB,20,low_lr_encoder,0.525099791078643,0.2855532594401653,0.1667397020157756,0.1665570896340127,1.0,0.0019289738571469,bcicomp3
subjB,20,partial_ft,0.5243863799878244,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0021548060311737,bcicomp3
subjB,20,warmup,0.5269556976036305,0.2859834212509419,0.1695880806310254,0.16688654353562,0.9986842105263158,0.0017480556649463,bcicomp3
subjB,40,full_ft,0.51426925950523,0.2852304797742239,0.1676161262050832,0.166410537870472,0.9973684210526316,0.0048542802194807,bcicomp3
subjB,40,low_lr_encoder,0.5111672616082793,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.0032539333584839,bcicomp3
subjB,40,partial_ft,0.5087295575294704,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.003159637927554,bcicomp3
subjB,40,warmup,0.5347065415905695,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.002204705255292,bcicomp3
subjB,60,full_ft,0.612573330012729,0.2962180435241918,0.2701577563540753,0.1764409765919959,0.9223684210526316,0.0839030713851469,bcicomp3
subjB,60,low_lr_encoder,0.5481605235486192,0.2862714508580343,0.1980718667835232,0.168040293040293,0.9657894736842104,0.0072864544703678,bcicomp3
subjB,60,partial_ft,0.5735133377608058,0.2922038060159607,0.2421121822962313,0.1730070268960504,0.9394736842105263,0.0283490338388759,bcicomp3
subjB,60,warmup,0.5555039017101112,0.2862595419847328,0.1805433829973707,0.1674107142857142,0.986842105263158,0.0180244143335091,bcicomp3
subjB,100,full_ft,0.7441097321379158,0.3682834737147836,0.523444347063979,0.2363026462914647,0.8342105263157895,0.4350511335774001,bcicomp3
subjB,100,low_lr_encoder,0.5538389299352482,0.2852841550621001,0.1678352322524101,0.1664470794905577,0.9973684210526316,0.0097762355116903,bcicomp3
subjB,100,partial_ft,0.5793100406774032,0.2914204198084369,0.238168273444347,0.1724137931034483,0.9407894736842104,0.0303304771463739,bcicomp3
subjB,100,warmup,0.5648578020366373,0.2888735314443676,0.3236196319018405,0.1750907567718514,0.825,0.0222057904740495,bcicomp3
subjB,0,scratch,0.4826617756931761,0.0,0.8334794040315513,0.0,0.0,0.0019537469720271,bcicomp3
subjB,10,scratch,0.5347708782998505,0.2809583858764186,0.3753286590709903,0.1737909516380655,0.7328947368421053,0.0061415460406304,bcicomp3
subjB,20,scratch,0.5384539819580497,0.2854996243425995,0.1665205959684487,0.1665205959684487,1.0,0.003930204578262,bcicomp3
subjB,40,scratch,0.5437214635563672,0.2892065465092189,0.2482471516213847,0.1716252766166707,0.9184210526315788,0.0080857668746973,bcicomp3
subjB,60,scratch,0.5489899828435442,0.2873691245266206,0.299079754601227,0.1729686242960579,0.8486842105263158,0.0080913419809094,bcicomp3
subjB,100,scratch,0.5609659499695612,0.2861997356994525,0.1715600350569675,0.1670707515979722,0.9973684210526316,0.0118591302202256,bcicomp3
