strategy,p,auc_mean,auc_std,auc_median,f1_mean,f1_std,f1_median,accuracy_mean,accuracy_std,accuracy_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,fdr_mean,fdr_std,fdr_median,n_subjects
full_ft,0,0.5095434514915048,,0.5095434514915048,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0010636135367113,,0.0010636135367113,1
full_ft,10,0.497777789307654,,0.497777789307654,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,2.3593759446005173e-05,,2.3593759446005173e-05,1
full_ft,20,0.5389681567878687,,0.5389681567878687,0.2867451576148879,,0.2867451576148879,0.1770376862401402,,0.1770376862401402,0.167554371948513,,0.167554371948513,0.993421052631579,,0.993421052631579,0.0116058191982203,,0.0116058191982203,1
full_ft,40,0.51426925950523,,0.51426925950523,0.2852304797742239,,0.2852304797742239,0.1676161262050832,,0.1676161262050832,0.166410537870472,,0.166410537870472,0.9973684210526316,,0.9973684210526316,0.0048542802194807,,0.0048542802194807,1
full_ft,60,0.612573330012729,,0.612573330012729,0.2962180435241918,,0.2962180435241918,0.2701577563540753,,0.2701577563540753,0.1764409765919959,,0.1764409765919959,0.9223684210526316,,0.9223684210526316,0.0839030713851469,,0.0839030713851469,1
full_ft,100,0.7441097321379158,,0.7441097321379158,0.3682834737147836,,0.3682834737147836,0.523444347063979,,0.523444347063979,0.2363026462914647,,0.2363026462914647,0.8342105263157895,,0.8342105263157895,0.4350511335774001,,0.4350511335774001,1
low_lr_encoder,0,0.5095434514915048,,0.5095434514915048,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0010636135367113,,0.0010636135367113,1
low_lr_encoder,10,0.499308899219658,,0.499308899219658,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0001295129907133,,0.0001295129907133,1
low_lr_encoder,20,0.525099791078643,,0.525099791078643,0.2855532594401653,,0.2855532594401653,0.1667397020157756,,0.1667397020157756,0.1665570896340127,,0.1665570896340127,1.0,,1.0,0.0019289738571469,,0.0019289738571469,1
low_lr_encoder,40,0.5111672616082793,,0.5111672616082793,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0032539333584839,,0.0032539333584839,1
low_lr_encoder,60,0.5481605235486192,,0.5481605235486192,0.2862714508580343,,0.2862714508580343,0.1980718667835232,,0.1980718667835232,0.168040293040293,,0.168040293040293,0.9657894736842104,,0.9657894736842104,0.0072864544703678,,0.0072864544703678,1
low_lr_encoder,100,0.5538389299352482,,0.5538389299352482,0.2852841550621001,,0.2852841550621001,0.1678352322524101,,0.1678352322524101,0.1664470794905577,,0.1664470794905577,0.9973684210526316,,0.9973684210526316,0.0097762355116903,,0.0097762355116903,1
partial_ft,0,0.5095434514915048,,0.5095434514915048,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0010636135367113,,0.0010636135367113,1
partial_ft,10,0.5050642675300238,,0.5050642675300238,0.2857142857142857,,0.2857142857142857,0.1673970201577563,,0.1673970201577563,0.1666666666666666,,0.1666666666666666,1.0,,1.0,0.0004514092143962,,0.0004514092143962,1
partial_ft,20,0.5243863799878244,,0.5243863799878244,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0021548060311737,,0.0021548060311737,1
partial_ft,40,0.5087295575294704,,0.5087295575294704,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.003159637927554,,0.003159637927554,1
partial_ft,60,0.5735133377608058,,0.5735133377608058,0.2922038060159607,,0.2922038060159607,0.2421121822962313,,0.2421121822962313,0.1730070268960504,,0.1730070268960504,0.9394736842105263,,0.9394736842105263,0.0283490338388759,,0.0283490338388759,1
partial_ft,100,0.5793100406774032,,0.5793100406774032,0.2914204198084369,,0.2914204198084369,0.238168273444347,,0.238168273444347,0.1724137931034483,,0.1724137931034483,0.9407894736842104,,0.9407894736842104,0.0303304771463739,,0.0303304771463739,1
scratch,0,0.4826617756931761,,0.4826617756931761,0.0,,0.0,0.8334794040315513,,0.8334794040315513,0.0,,0.0,0.0,,0.0,0.0019537469720271,,0.0019537469720271,1
scratch,10,0.5347708782998505,,0.5347708782998505,0.2809583858764186,,0.2809583858764186,0.3753286590709903,,0.3753286590709903,0.1737909516380655,,0.1737909516380655,0.7328947368421053,,0.7328947368421053,0.0061415460406304,,0.0061415460406304,1
scratch,20,0.5384539819580497,,0.5384539819580497,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.003930204578262,,0.003930204578262,1
scratch,40,0.5437214635563672,,0.5437214635563672,0.2892065465092189,,0.2892065465092189,0.2482471516213847,,0.2482471516213847,0.1716252766166707,,0.1716252766166707,0.9184210526315788,,0.9184210526315788,0.0080857668746973,,0.0080857668746973,1
scratch,60,0.5489899828435442,,0.5489899828435442,0.2873691245266206,,0.2873691245266206,0.299079754601227,,0.299079754601227,0.1729686242960579,,0.1729686242960579,0.8486842105263158,,0.8486842105263158,0.0080913419809094,,0.0080913419809094,1
scratch,100,0.5609659499695612,,0.5609659499695612,0.2861997356994525,,0.2861997356994525,0.1715600350569675,,0.1715600350569675,0.1670707515979722,,0.1670707515979722,0.9973684210526316,,0.9973684210526316,0.0118591302202256,,0.0118591302202256,1
warmup,0,0.5095434514915048,,0.5095434514915048,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.0010636135367113,,0.0010636135367113,1
warmup,10,0.4983175604626708,,0.4983175604626708,0.2819094447859045,,0.2819094447859045,0.2320333041191936,,0.2320333041191936,0.1669497694734287,,0.1669497694734287,0.9052631578947368,,0.9052631578947368,5.8885369672881054e-05,,5.8885369672881054e-05,1
warmup,20,0.5269556976036305,,0.5269556976036305,0.2859834212509419,,0.2859834212509419,0.1695880806310254,,0.1695880806310254,0.16688654353562,,0.16688654353562,0.9986842105263158,,0.9986842105263158,0.0017480556649463,,0.0017480556649463,1
warmup,40,0.5347065415905695,,0.5347065415905695,0.2854996243425995,,0.2854996243425995,0.1665205959684487,,0.1665205959684487,0.1665205959684487,,0.1665205959684487,1.0,,1.0,0.002204705255292,,0.002204705255292,1
warmup,60,0.5555039017101112,,0.5555039017101112,0.2862595419847328,,0.2862595419847328,0.1805433829973707,,0.1805433829973707,0.1674107142857142,,0.1674107142857142,0.986842105263158,,0.986842105263158,0.0180244143335091,,0.0180244143335091,1
warmup,100,0.5648578020366373,,0.5648578020366373,0.2888735314443676,,0.2888735314443676,0.3236196319018405,,0.3236196319018405,0.1750907567718514,,0.1750907567718514,0.825,,0.825,0.0222057904740495,,0.0222057904740495,1
